;PhyloTree.org - mtDNA tree Build 17 (18 Feb 2016);;;;;;;;;;;;;;;;;;;;;;;;;
;Citation: van Oven M, Kayser M. 2009. Updated comprehensive phylogenetic tree of global human mitochondrial DNA variation. Hum Mutat 30(2):E386-E394.;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;Nucleotide position numbers are consistent with both the rCRS and the RSRS.;;;;;;;;;;;;;;;;;;;;;;;;;
;Substitutions are transitions unless an explicit base change is indicated.;;;;;;;;;;;;;;;;;;;;;;;;;
;"Insertions are indicated by a dot (.) following the respective position number, deletions by the letter ""d"" following the position number(s) involved.";;;;;;;;;;;;;;;;;;;;;;;;;
;Mutations toward the rCRS state are indicated with a @ prefix.;;;;;;;;;;;;;;;;;;;;;;;;;
;Mutations between brackets () are recurrent/unstable within the respective clade, or are yet uncertain based on current data.;;;;;;;;;;;;;;;;;;;;;;;;;
;Mutation motifs in italic are preliminary and are likely to be further refined as additional sequences become available.;;;;;;;;;;;;;;;;;;;;;;;;;
;The mutations 309.1C(C), 315.1C, AC indels at 515-522, 16182C, 16183C, 16193.1C(C) and 16519 were not considered for phylogenetic reconstruction and are therefore excluded from the tree.;;;;;;;;;;;;;;;;;;;;;;;;;
;Accession numbers provided at the tips of branches are representative examples of mtDNA sequences available at GenBank or from individuals included in HapMap/1000Genomes.;;;;;;;;;;;;;;;;;;;;;;;;;
;It may be convenient to use the Find function (Ctrl+F) of your browser to search for a particular mutation or haplogroup.;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;Example accessions;
 mt-MRCA;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
L0; @263  1048  3516A  5442  6185  9042  9347  10589  12007  12720 ;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;L0a'b'f'g'k; 189  4586  9818  16172 ;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
